n_nodes,density,n_edges,dijkstra_time,prim_time,bellman_ford_time
50,sparse,49,5.909999981668079e-05,9.200000022246968e-05,0.0003187000002071727
50,dense,735,0.00020040000026710914,0.0006905999998707557,0.0013498000002982735
100,sparse,198,0.00022430000035456032,0.00028000000020256266,0.000593600000229344
100,dense,2970,0.0005647000002682034,0.0031553999997413484,0.005776299999979528
300,sparse,1794,0.0007519999999203719,0.002183699999932287,0.004902900000161026
300,dense,26910,0.0045717000002696295,0.03613260000020091,0.05534209999996165
500,sparse,4990,0.0018675000001167064,0.005762499999946158,0.015108099999906699
500,dense,74850,0.013094700000237935,0.18341589999999997,0.1499496999999792
