n,dp_time,brute_force_time
5,4.109999963475275e-05,5.3700000080425525e-05
10,1.5799999800947262e-05,0.0005698999998458021
15,1.340000017080456e-05,0.0015303999998650397
18,2.500000027794158e-05,0.0035367000000405824
20,4.939999962516595e-05,0.011191300000064075
22,2.9400000130408444e-05,
