n,greedy_time,brute_force_time,platforms
10,2.8100000236008782e-05,2.1999999717081664e-05,9
50,6.149999990157085e-05,0.00016380000033677788,14
100,9.810000028664945e-05,0.0005221000001256471,11
500,0.000657000000046537,0.014572300000054383,15
1000,0.0008660999997118779,,16
5000,0.004439199999978882,,19
