n,sequential_time,parallel_1t_time,speedup_1t,parallel_2t_time,speedup_2t,parallel_4t_time,speedup_4t,parallel_8t_time,speedup_8t
5000,0.02302310000000792,0.030081333333347022,0.7653616860953895,0.03971763333332016,0.5796694834959675,0.0487167666666816,0.4725908875999747,0.05515966666664932,0.41739012200971404
20000,0.13793933333334962,0.13751663333334818,1.00307380998033,0.11757390000000593,1.1732138963948857,0.1597587999999822,0.86342244266585,0.18373443333333248,0.7507538507117987
50000,0.4387430666666698,0.49684890000001286,0.8830512992313325,0.4930990999999949,0.8897665127895678,0.46569676666666737,0.9421217798162419,0.46134059999997135,0.9510176790568553
