n,bst_insert,bst_search,bst_delete,bst_height,avl_insert,avl_search,avl_delete,avl_height,hash_insert,hash_search,hash_delete,heap_push_total,heap_pop_per_op
100,0.00014900000011645412,1.09333333663623e-05,1.92333333567755e-05,14.666666666666666,0.0005336999999296191,7.833333408295099e-06,5.733333334016303e-05,8.0,0.0002328333331812852,5.333333319867961e-06,8.766666724113747e-06,6.353333340787988e-05,2.9199999820169374e-06
1000,0.0021563666668953374,0.00012899999986378438,0.00020729999990483824,22.333333333333332,0.007786400000137898,0.00011176666657775058,0.0007956999999502538,12.0,0.0022053666666579375,4.366666659431454e-05,6.673333336948417e-05,0.0007309666666515113,4.197999999936049e-06
10000,0.03756523333322548,0.002644966666593973,0.0036921666666482147,32.0,0.11859350000001238,0.0020541333331796827,0.013184666666650932,16.0,0.041083033333355466,0.000867866666643143,0.0013798999999986943,0.010627266666536647,8.15733333335326e-06
