n_items,next_fit_bins_avg,ffd_bins_avg,local_search_bins_avg,sa_bins_avg,next_fit_time,ffd_time,local_search_time,sa_time
20,5.8,5.2,5.6,5.0,4.408000008879753e-05,0.00010695999999370543,5.945999992036377e-05,0.11639488000005258
40,11.2,9.8,11.2,10.6,7.437999997819133e-05,0.0002706399999624409,7.860000000619039e-05,0.19564645999998903
60,16.8,14.2,15.8,15.8,9.620000009817886e-05,0.0004941199999848322,0.00018208000001322943,0.27957201999997777
100,27.4,24.0,25.6,27.2,0.00019585999993978475,0.0013936999999714316,0.0004431599999861646,0.4545730600000297
